<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20010102,235600,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235700,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235800,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235900,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000000,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,000100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000500,0.9507,0.9507,0.9506,0.9507,4
EURUSD,20010103,000600,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,000800,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001200,0.9506,0.9506,0.9505,0.9506,4
EURUSD,20010103,001300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002200,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,002300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,002400,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,002500,0.9508,0.9510,0.9508,0.9510,4
EURUSD,20010103,002600,0.9510,0.9510,0.9509,0.9509,4
EURUSD,20010103,002700,0.9509,0.9509,0.9509,0.9509,4
EURUSD,20010103,002800,0.9509,0.9509,0.9509,0.9509,4
EURUSD,20010103,002900,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,003000,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,003100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,003200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,003300,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,003400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003800,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,003900,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,004000,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,004100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,004200,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,004300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,004400,0.9506,0.9506,0.9500,0.9500,4
EURUSD,20010103,004500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,004600,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,004700,0.9500,0.9500,0.9498,0.9498,4
EURUSD,20010103,004800,0.9498,0.9498,0.9496,0.9496,4
EURUSD,20010103,004900,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,005000,0.9495,0.9496,0.9495,0.9496,4
EURUSD,20010103,005100,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,005200,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,005300,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,005400,0.9494,0.9494,0.9492,0.9492,4
EURUSD,20010103,005500,0.9492,0.9493,0.9492,0.9493,4
EURUSD,20010103,005600,0.9493,0.9497,0.9493,0.9497,4
